ColumnName,ID,Description
CITY_ID,429,THE COLONY
CITY_ID,430,TOMBALL
CITY_ID,431,TRINITY
CITY_ID,432,TROPHY CLUB
CITY_ID,433,TULIA
CITY_ID,434,TYLER
CITY_ID,435,UNIVERSAL CITY
CITY_ID,436,UNIVERSITY PARK
CITY_ID,437,UVALDE
CITY_ID,438,VAN ALSTYNE
CITY_ID,439,VERNON
CITY_ID,440,VICTORIA
CITY_ID,441,VIDOR
CITY_ID,442,WACO
CITY_ID,443,WAKE VILLAGE
CITY_ID,444,WATAUGA
CITY_ID,445,WAXAHACHIE
CITY_ID,446,WEATHERFORD
CITY_ID,447,WEBSTER
CITY_ID,448,WESLACO
CITY_ID,449,WEST
CITY_ID,450,WEST COLUMBIA
CITY_ID,451,WEST LAKE HILLS
CITY_ID,452,WEST ORANGE
CITY_ID,453,WEST UNIVERSITY PLACE
CITY_ID,454,WHARTON
CITY_ID,455,WHITE OAK
CITY_ID,456,WHITE SETTLEMENT
CITY_ID,457,WHITEHOUSE
CITY_ID,458,WHITESBORO
CITY_ID,459,WICHITA FALLS
CITY_ID,460,WILLIS
CITY_ID,461,WILLOW PARK
CITY_ID,462,WILLS POINT
CITY_ID,463,WILMER
CITY_ID,464,WINDCREST
CITY_ID,465,WINNSBORO
CITY_ID,466,WINTERS
CITY_ID,467,WOODWAY
CITY_ID,468,WYLIE
CITY_ID,469,YOAKUM
CITY_ID,470,ABBOTT
CITY_ID,471,CHULA VISTA
CITY_ID,472,ACKERLY
CITY_ID,473,ADRIAN
CITY_ID,474,AGUA DULCE
CITY_ID,475,CHULA VISTA
CITY_ID,476,ALBA
CITY_ID,477,ALBANY
CITY_ID,478,ALDINE
CITY_ID,479,ALEDO
CITY_ID,480,COYOTE FLATS
CITY_ID,481,HILLTOP
CITY_ID,482,ALMA
CITY_ID,483,ALTO
CITY_ID,484,HILLTOP
CITY_ID,485,LANGTRY
CITY_ID,486,ALVORD
CITY_ID,487,AMES
CITY_ID,488,AMHERST
CITY_ID,489,ANAHUAC
CITY_ID,490,ANDERSON
CITY_ID,491,LANTANA
CITY_ID,492,ANGUS
CITY_ID,493,ANNA
CITY_ID,494,ANNETTA
CITY_ID,495,ANNETTA NORTH
CITY_ID,496,ANNETTA SOUTH
CITY_ID,497,ANNONA
CITY_ID,498,ANTON
CITY_ID,499,APPLEBY
CITY_ID,500,AQUILLA
CITY_ID,501,ARCHER CITY
CITY_ID,502,ARCOLA
CITY_ID,503,ARP
CITY_ID,504,LOMA LINDA EAST
CITY_ID,505,LOS EBANOS
CITY_ID,506,MAPLE
CITY_ID,507,ASHERTON
CITY_ID,508,ASPERMONT
CITY_ID,509,MAPLE
CITY_ID,510,AUBREY
CITY_ID,511,AURORA
CITY_ID,512,AUSTWELL
CITY_ID,513,AVERY
CITY_ID,514,AVINGER
CITY_ID,515,BACLIFF
CITY_ID,516,BAILEY
CITY_ID,517,BAILEY'S PRAIRIE
CITY_ID,518,BAIRD
CITY_ID,519,BALMORHEA
CITY_ID,520,BANDERA
CITY_ID,521,BANGS
CITY_ID,522,BARDWELL
CITY_ID,523,BARRETT
CITY_ID,524,BARRY
CITY_ID,525,BARSTOW
CITY_ID,526,BARTLETT
CITY_ID,527,MEDINA
CITY_ID,528,BARTONVILLE
CITY_ID,529,BATESVILLE
CITY_ID,530,NEW YORK
CITY_ID,531,BAYOU VISTA
CITY_ID,532,BAYSIDE
CITY_ID,533,BAYVIEW
CITY_ID,534,BEACH CITY
CITY_ID,535,BEAR CREEK
CITY_ID,536,BEASLEY
CITY_ID,537,BECKVILLE
CITY_ID,538,BEE CAVE
CITY_ID,539,BELLEVUE
CITY_ID,540,BELLS
CITY_ID,541,BENAVIDES
CITY_ID,542,BENJAMIN
CITY_ID,543,BERRYVILLE
CITY_ID,544,BERTRAM
